Gene,Coassociation Frequency,New
AC007386.4,0.919905144897,1
RP11-363G10.2,0.919860061674,1
NEK10,0.919697762069,1
NAB1,0.919679728779,1
SCN1B,0.919526445819,0
FAM53B-AS1,0.919454312661,1
ACTR6,0.919382179503,1
STAP1,0.919282996411,1
ZNF674,0.919210863254,1
TNFRSF10D,0.919120696806,1
GPS2,0.919093646872,1
FGF13,0.919075613583,0
RP11-447D11.3,0.91901249707,1
RP5-1198O20.4,0.919003480425,1
RP11-751K21.1,0.91882314753,1
ZDHHC24,0.918696914504,1
EYA3,0.918633797991,1
CHGA,0.918273132202,1
RP11-332H18.3,0.918119849242,1
GLTSCR1,0.918056732729,1
RP4-758J24.4,0.917813283321,1
AC005550.5,0.917641967071,1
TMLHE,0.917560817269,0
LA16c-321D4.2,0.917542783979,1
DLGAP5,0.917497700756,1
COX7A2L,0.917470650821,1
PLK1,0.917443600887,1
LINC01598,0.917389501019,1
C5AR1,0.917344417795,1
HDAC10,0.917236218059,1
FHDC1,0.916965718717,1
SNRPFP2,0.916568986349,1
KRCC1,0.916460786612,1
RP11-315D16.4,0.916433736678,1
RPL5P25,0.916388653454,1
MIR3677,0.916325536941,1
LA16c-358B7.3,0.916244387139,1
FOXE3,0.91620832056,1
CH507-154B10.1,0.916009954376,1
LA16c-380A1.2,0.915973887797,1
SRM,0.915928804573,1
FKBP2,0.915910771284,1
ADGRL2,0.915892737994,1
EPB41L4A,0.915757488323,1
GIMAP8,0.915703388455,1
TRIM46,0.915622238653,1
CASP3,0.915604205363,1
TOP3BP1,0.915550105495,1
AC009302.2,0.915342722666,1
TRMT13,0.915261572864,1
TRABD,0.915252556219,1
GS1-124K5.11,0.915189439706,1
ZMYND11,0.915180423061,0
MIR553,0.915054190035,1
RPL13A,0.914991073522,1
RP11-440L14.4,0.914846807206,1
CDC42P2,0.914711557535,1
RPL3P6,0.914368925036,1
RP11-92C4.3,0.914359908391,1
CSPG4P13,0.914323841812,1
USP18,0.91405334247,0
RP5-864K19.6,0.914017275891,1
RPL5P24,0.91390005951,1
OVOL3,0.913891042865,1
MIR98,0.91388202622,1
CEACAMP11,0.913755793194,1
POSTN,0.913629560168,1
CASP3P1,0.913395127405,1
RP11-299H22.6,0.91338611076,1
LRRC46,0.913368077471,1
FAM122A,0.913088561485,1
AGL,0.913016428327,0
RABGEF1,0.912944295169,1
PLEKHM1P1,0.912890195301,1
RP5-1056L3.3,0.91241231313,1
RP11-321N4.4,0.912286080104,1
FAM217B,0.912195913657,1
COX7B,0.911781147999,0
P4HA2,0.911727048131,1
RP11-600G3.1,0.911609831749,1
NCOA5,0.911528681947,1
ADGRA2,0.911375398987,1
RP11-307L14.1,0.911231132671,1
RPS10L,0.911222116026,1
CLCA2,0.911140966224,1
RP11-57H14.2,0.911041783132,1
RP11-676B18.1,0.910762267145,1
RP11-304C16.2,0.910762267145,1
RP11-620J15.3,0.910744233856,1
FGF14,0.91025733504,0
RP11-248J18.3,0.91012208537,1
WDR44,0.910067985501,1
NAA20,0.910031918922,0
NKAIN3,0.909995852343,1
CROCCP3,0.909968802409,1
